Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Outer Bay,L.1022,NA,NCCA10-1022,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.1019,NA,NCCA10-1019,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,Pesticides (total),PestTot,0.03274,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS01,S.CS01,2000.CS01,2000,0,Pesticides (total),PestTot,0.0938,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,Pesticides (total),PestTot,0.614715,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS02F,S.CS02F,2000.CS02,2000,0,Pesticides (total),PestTot,0.1543,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,Pesticides (total),PestTot,0.12784,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS03X,S.CS03X,2001.CS03,2001,0,Pesticides (total),PestTot,0.125,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS03Y,S.CS03,2000.CS03,2000,0,Pesticides (total),PestTot,0.037,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,2001.CS04,2001,0,Pesticides (total),PestTot,0.28,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,Pesticides (total),PestTot,2.439079,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,Pesticides (total),PestTot,3.931573,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS05,S.CS05,2000.CS05,2000,0,Pesticides (total),PestTot,3.931573,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,Pesticides (total),PestTot,0.886132,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS06,S.CS06,2000.CS06,2000,0,Pesticides (total),PestTot,1.305,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,Pesticides (total),PestTot,0.05234,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS07,S.CS07,2000.CS07,2000,0,Pesticides (total),PestTot,0.603,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB01,S.EB01,1991.EB01,1991,0,Pesticides (total),PestTot,1.294317,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB02,S.EB02,1991.EB02,1991,0,Pesticides (total),PestTot,1.23292,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB02,S.EB02,2000.EB02,2000,0,Pesticides (total),PestTot,1.479,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB03,S.EB03,1991.EB03,1991,0,Pesticides (total),PestTot,2.75373,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB03,S.EB03,2000.EB03,2000,0,Pesticides (total),PestTot,2.04,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB03X,S.EB03X,2001.EB03,2001,0,Pesticides (total),PestTot,2.979,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,2001.EB04,2001,0,Pesticides (total),PestTot,0.61,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB04Q,S.EB04,1991.EB04,1991,0,Pesticides (total),PestTot,1.9801,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
