Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
East Bay,L.EB09X,S.EB09X,2001.EB09,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB01,S.IB01,2001.IB01,2001,0,Tributyltin,688-73-3,50.49,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB01,S.IB01,2001.IB01,2001,0,Dibutyltin,1002-53-5,10.34,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB01,S.IB01,2001.IB01,2001,0,Monobutyltin,78763-54-9,4.68,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB02,S.IB02,2001.IB02,2001,0,Tributyltin,688-73-3,12.23,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB02,S.IB02,2001.IB02,2001,0,Dibutyltin,1002-53-5,7.09,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB02,S.IB02,2001.IB02,2001,0,Monobutyltin,78763-54-9,4.17,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB04,S.IB04,2001.IB04,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB04,S.IB04,2001.IB04,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB04,S.IB04,2001.IB04,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,2001.IB06,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,2001.IB06,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,2001.IB06,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07,S.IB07,2001.IB07,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07,S.IB07,2001.IB07,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07,S.IB07,2001.IB07,2001,0,Monobutyltin,78763-54-9,2.59,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07Z,S.IB07Z,2001.IB07Z,2002,0,Tributyltin,688-73-3,5.37,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07Z,S.IB07Z,2001.IB07Z,2002,0,Dibutyltin,1002-53-5,7.82,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07Z,S.IB07Z,2001.IB07Z,2002,0,Monobutyltin,78763-54-9,7.8,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB08,S.IB08,2001.IB08,2001,0,Tributyltin,688-73-3,2.4,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB08,S.IB08,2001.IB08,2001,0,Dibutyltin,1002-53-5,3.34,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB08,S.IB08,2001.IB08,2001,0,Monobutyltin,78763-54-9,6.62,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB09,S.IB09,2001.IB09,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB09,S.IB09,2001.IB09,2001,0,Dibutyltin,1002-53-5,2.05,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB09,S.IB09,2001.IB09,2001,0,Monobutyltin,78763-54-9,3.62,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,2001.IB10,2001,0,Tributyltin,688-73-3,2,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,2001.IB10,2001,0,Dibutyltin,1002-53-5,2.7,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB10,S.IB10,2001.IB10,2001,0,Monobutyltin,78763-54-9,4.73,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB01,S.OB01,2001.OB01,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB01,S.OB01,2001.OB01,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB01,S.OB01,2001.OB01,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB10X,S.OB10,2001.OB10,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB10X,S.OB10,2001.OB10,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB10X,S.OB10,2001.OB10,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB15,S.OB15,2001.OB15,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
